Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1584436926,2020-03-17T09:22:06Z,KLM281,"52.314148,4.770241",0,0,271
1584437115,2020-03-17T09:25:15Z,KLM281,"52.314045,4.770499",0,14,303
1584437128,2020-03-17T09:25:28Z,KLM281,"52.313896,4.770908",0,15,309
1584437136,2020-03-17T09:25:36Z,KLM281,"52.313797,4.771186",0,14,337
1584437149,2020-03-17T09:25:49Z,KLM281,"52.31353,4.771385",0,14,11
1584437158,2020-03-17T09:25:58Z,KLM281,"52.313324,4.771347",0,15,30
1584437169,2020-03-17T09:26:09Z,KLM281,"52.313087,4.771088",0,15,33
1584437180,2020-03-17T09:26:20Z,KLM281,"52.312878,4.770852",0,15,33
1584437194,2020-03-17T09:26:34Z,KLM281,"52.312576,4.770538",0,14,33
1584437205,2020-03-17T09:26:45Z,KLM281,"52.312378,4.770322",0,12,30
1584437445,2020-03-17T09:30:45Z,KLM281,"52.31258,4.770527",0,16,30
1584437453,2020-03-17T09:30:53Z,KLM281,"52.312763,4.770737",0,20,33
1584437462,2020-03-17T09:31:02Z,KLM281,"52.312973,4.771225",0,23,56
1584437468,2020-03-17T09:31:08Z,KLM281,"52.313007,4.771676",0,22,78
1584437480,2020-03-17T09:31:20Z,KLM281,"52.312984,4.772422",0,23,92
1584437486,2020-03-17T09:31:26Z,KLM281,"52.312969,4.772911",0,26,90
1584437492,2020-03-17T09:31:32Z,KLM281,"52.312958,4.773483",0,27,92
1584437503,2020-03-17T09:31:43Z,KLM281,"52.312912,4.774418",0,29,95
1584437512,2020-03-17T09:31:52Z,KLM281,"52.312649,4.775009",0,24,135
1584437519,2020-03-17T09:31:59Z,KLM281,"52.312378,4.77507",0,25,168
1584437533,2020-03-17T09:32:13Z,KLM281,"52.311646,4.775031",0,27,182
1584437540,2020-03-17T09:32:20Z,KLM281,"52.311344,4.77499",0,27,182
1584437548,2020-03-17T09:32:28Z,KLM281,"52.310852,4.774933",0,28,182
1584437554,2020-03-17T09:32:34Z,KLM281,"52.310562,4.774913",0,28,182
1584437566,2020-03-17T09:32:46Z,KLM281,"52.309898,4.774835",0,29,182
1584437572,2020-03-17T09:32:52Z,KLM281,"52.309494,4.774796",0,30,182
1584437581,2020-03-17T09:33:01Z,KLM281,"52.308922,4.774756",0,31,182
1584437588,2020-03-17T09:33:08Z,KLM281,"52.308575,4.774723",0,28,182
1584437598,2020-03-17T09:33:18Z,KLM281,"52.308014,4.774685",0,28,182
1584437606,2020-03-17T09:33:26Z,KLM281,"52.307659,4.774647",0,24,182
1584437612,2020-03-17T09:33:32Z,KLM281,"52.30743,4.774609",0,19,182
1584437626,2020-03-17T09:33:46Z,KLM281,"52.30719,4.77459",0,0,187
1584437682,2020-03-17T09:34:42Z,KLM281,"52.306984,4.77457",0,12,182
1584437696,2020-03-17T09:34:56Z,KLM281,"52.306618,4.774704",0,19,163
1584437706,2020-03-17T09:35:06Z,KLM281,"52.306293,4.774972",0,21,151
1584437713,2020-03-17T09:35:13Z,KLM281,"52.306026,4.775208",0,20,151
1584437722,2020-03-17T09:35:22Z,KLM281,"52.305805,4.775384",0,14,151
1584437734,2020-03-17T09:35:34Z,KLM281,"52.305576,4.775562",0,16,151
1584437747,2020-03-17T09:35:47Z,KLM281,"52.305244,4.775848",0,20,151
1584437755,2020-03-17T09:35:55Z,KLM281,"52.304935,4.776096",0,21,151
1584437770,2020-03-17T09:36:10Z,KLM281,"52.304398,4.776611",0,18,149
1584437780,2020-03-17T09:36:20Z,KLM281,"52.304192,4.776592",0,14,180
1584437792,2020-03-17T09:36:32Z,KLM281,"52.304123,4.776344",0,9,219
1584437821,2020-03-17T09:37:01Z,KLM281,"52.304077,4.776134",0,12,233
1584437828,2020-03-17T09:37:08Z,KLM281,"52.303768,4.775364",0,31,236
1584437834,2020-03-17T09:37:14Z,KLM281,"52.303265,4.774075",0,48,236
1584437872,2020-03-17T09:37:52Z,KLM281,"52.291386,4.74319",0,164,237
1584437879,2020-03-17T09:37:59Z,KLM281,"52.288971,4.737091",100,161,237
1584437886,2020-03-17T09:38:06Z,KLM281,"52.286407,4.730606",400,159,237
1584437892,2020-03-17T09:38:12Z,KLM281,"52.283936,4.724514",675,157,236
1584437898,2020-03-17T09:38:18Z,KLM281,"52.281464,4.718475",925,157,236
1584437904,2020-03-17T09:38:24Z,KLM281,"52.279083,4.712753",1175,159,236
1584437915,2020-03-17T09:38:35Z,KLM281,"52.273911,4.700546",1500,166,233
1584437921,2020-03-17T09:38:41Z,KLM281,"52.271027,4.694824",1600,170,229
1584437928,2020-03-17T09:38:48Z,KLM281,"52.267548,4.689044",1700,178,223
1584437937,2020-03-17T09:38:57Z,KLM281,"52.261822,4.680333",1875,188,223
1584437943,2020-03-17T09:39:03Z,KLM281,"52.258072,4.674377",1925,193,223
1584437954,2020-03-17T09:39:14Z,KLM281,"52.250198,4.661255",2050,211,226
1584437960,2020-03-17T09:39:20Z,KLM281,"52.246582,4.654388",2175,217,230
1584437968,2020-03-17T09:39:28Z,KLM281,"52.242039,4.642273",2375,223,243
1584437975,2020-03-17T09:39:35Z,KLM281,"52.239624,4.632645",2550,227,249
1584437981,2020-03-17T09:39:41Z,KLM281,"52.237518,4.62059",2750,233,255
1584437988,2020-03-17T09:39:48Z,KLM281,"52.236053,4.610519",2950,236,256
1584437996,2020-03-17T09:39:56Z,KLM281,"52.233425,4.594718",3275,239,254
1584438002,2020-03-17T09:40:02Z,KLM281,"52.23217,4.584752",3450,243,259
1584438027,2020-03-17T09:40:27Z,KLM281,"52.240128,4.540787",4475,250,308
1584438033,2020-03-17T09:40:33Z,KLM281,"52.245342,4.53288",4725,252,318
1584438039,2020-03-17T09:40:39Z,KLM281,"52.249859,4.527858",4875,258,327
1584438046,2020-03-17T09:40:46Z,KLM281,"52.257065,4.521179",5100,261,330
1584438052,2020-03-17T09:40:52Z,KLM281,"52.264893,4.513855",5350,264,329
1584438058,2020-03-17T09:40:58Z,KLM281,"52.271645,4.507062",5625,263,328
1584438073,2020-03-17T09:41:13Z,KLM281,"52.286308,4.49231",6275,263,328
1584438086,2020-03-17T09:41:26Z,KLM281,"52.29953,4.479047",6750,266,328
1584438097,2020-03-17T09:41:37Z,KLM281,"52.311447,4.467392",7250,265,328
1584438109,2020-03-17T09:41:49Z,KLM281,"52.324539,4.454346",7700,269,328
1584438121,2020-03-17T09:42:01Z,KLM281,"52.337006,4.441694",8100,272,328
1584438132,2020-03-17T09:42:12Z,KLM281,"52.347748,4.431076",8450,275,330
1584438140,2020-03-17T09:42:20Z,KLM281,"52.357674,4.423881",8750,279,340
1584438147,2020-03-17T09:42:27Z,KLM281,"52.366425,4.420471",9000,283,349
1584438153,2020-03-17T09:42:33Z,KLM281,"52.37434,4.418701",9250,283,353
1584438162,2020-03-17T09:42:42Z,KLM281,"52.386292,4.416962",9600,285,356
1584438168,2020-03-17T09:42:48Z,KLM281,"52.395767,4.416046",9850,286,356
1584438182,2020-03-17T09:43:02Z,KLM281,"52.414234,4.413051",10300,290,353
1584438194,2020-03-17T09:43:14Z,KLM281,"52.428726,4.4104",10525,298,353
1584438204,2020-03-17T09:43:24Z,KLM281,"52.44482,4.407479",10725,308,353
1584438215,2020-03-17T09:43:35Z,KLM281,"52.459763,4.404907",10875,320,354
1584438228,2020-03-17T09:43:48Z,KLM281,"52.478012,4.401986",11075,332,354
1584438239,2020-03-17T09:43:59Z,KLM281,"52.49696,4.398847",11350,341,354
1584438251,2020-03-17T09:44:11Z,KLM281,"52.516525,4.395599",11700,348,354
1584438263,2020-03-17T09:44:23Z,KLM281,"52.53392,4.392648",11950,357,354
1584438275,2020-03-17T09:44:35Z,KLM281,"52.555939,4.389267",12225,370,354
1584438308,2020-03-17T09:45:08Z,KLM281,"52.612827,4.379935",12850,398,354
1584438339,2020-03-17T09:45:39Z,KLM281,"52.670647,4.370675",13750,413,354
1584438370,2020-03-17T09:46:10Z,KLM281,"52.731628,4.35757",14825,420,346
1584438378,2020-03-17T09:46:18Z,KLM281,"52.74522,4.350194",15100,418,340
1584438386,2020-03-17T09:46:26Z,KLM281,"52.761292,4.338531",15425,417,333
1584438393,2020-03-17T09:46:33Z,KLM281,"52.771042,4.329605",15650,415,329
1584438401,2020-03-17T09:46:41Z,KLM281,"52.783672,4.315822",15950,415,325
1584438409,2020-03-17T09:46:49Z,KLM281,"52.797226,4.298706",16325,414,322
1584438416,2020-03-17T09:46:56Z,KLM281,"52.806656,4.28688",16600,414,322
1584438452,2020-03-17T09:47:32Z,KLM281,"52.861176,4.21875",17875,420,322
1584438485,2020-03-17T09:48:05Z,KLM281,"52.913727,4.152603",19075,426,322
1584438546,2020-03-17T09:49:06Z,KLM281,"53.010288,4.030805",20900,439,322
1584438607,2020-03-17T09:50:07Z,KLM281,"53.110981,3.903135",22775,448,322
1584438670,2020-03-17T09:51:10Z,KLM281,"53.216537,3.768546",24000,460,322
1584438734,2020-03-17T09:52:14Z,KLM281,"53.323399,3.631305",23975,458,322
1584438797,2020-03-17T09:53:17Z,KLM281,"53.429077,3.494673",24025,464,322
1584438857,2020-03-17T09:54:17Z,KLM281,"53.531845,3.360875",25675,471,322
1584438921,2020-03-17T09:55:21Z,KLM281,"53.644363,3.223624",26975,491,333
1584438928,2020-03-17T09:55:28Z,KLM281,"53.660156,3.213344",27100,498,340
1584438934,2020-03-17T09:55:34Z,KLM281,"53.673065,3.207066",27225,503,345
1584438941,2020-03-17T09:55:41Z,KLM281,"53.691467,3.201259",27400,509,351
1584438947,2020-03-17T09:55:47Z,KLM281,"53.704895,3.199203",27500,513,355
1584438971,2020-03-17T09:56:11Z,KLM281,"53.761971,3.206392",28050,522,6
